,fecha_apertura,residencia_provincia_nombre,residencia_provincia_id,cantidad
163,2020-03-26,Córdoba,14,16
164,2020-03-26,Entre Ríos,30,2
165,2020-03-26,La Pampa,42,1
166,2020-03-26,La Rioja,46,1
167,2020-03-26,Neuquén,58,2
168,2020-03-26,San Juan,70,1
169,2020-03-26,San Luis,74,1
170,2020-03-26,Santa Cruz,78,1
171,2020-03-26,Santa Fe,82,14
172,2020-03-26,Tucumán,90,4
173,2020-03-27,Buenos Aires,06,28
174,2020-03-27,CABA,02,28
175,2020-03-27,Catamarca,10,2
176,2020-03-27,Chaco,22,15
177,2020-03-27,Córdoba,14,17
178,2020-03-27,La Rioja,46,2
179,2020-03-27,Mendoza,50,6
180,2020-03-27,Neuquén,58,3
181,2020-03-27,Salta,66,1
182,2020-03-27,Santa Cruz,78,2
183,2020-03-27,Santa Fe,82,13
184,2020-03-27,Tierra del Fuego,94,4
185,2020-03-28,Buenos Aires,06,28
186,2020-03-28,CABA,02,16
187,2020-03-28,Chaco,22,4
188,2020-03-28,Chubut,26,1
189,2020-03-28,Corrientes,18,10
190,2020-03-28,Córdoba,14,4
191,2020-03-28,Entre Ríos,30,2
192,2020-03-28,Mendoza,50,3
193,2020-03-28,Neuquén,58,3
194,2020-03-28,Salta,66,1
195,2020-03-28,San Luis,74,1
196,2020-03-28,Santa Cruz,78,2
197,2020-03-28,Santa Fe,82,8
198,2020-03-28,Tierra del Fuego,94,9
199,2020-03-29,Buenos Aires,06,25
200,2020-03-29,CABA,02,24
201,2020-03-29,Chaco,22,2
202,2020-03-29,Corrientes,18,2
203,2020-03-29,Córdoba,14,5
204,2020-03-29,Entre Ríos,30,2
205,2020-03-29,Mendoza,50,1
206,2020-03-29,Misiones,54,1
207,2020-03-29,Neuquén,58,2
208,2020-03-29,Santa Fe,82,24
209,2020-03-29,Tierra del Fuego,94,4
210,2020-03-29,Tucumán,90,2
211,2020-03-30,Buenos Aires,06,33
212,2020-03-30,CABA,02,37
