fecha_apertura,residencia_provincia_nombre,residencia_provincia_id,cantidad
2020-03-27,Santa Cruz,78,2
2020-03-27,Santa Fe,82,13
2020-03-27,Tierra del Fuego,94,4
2020-03-28,Buenos Aires,06,28
2020-03-28,CABA,02,16
2020-03-28,Chaco,22,4
2020-03-28,Chubut,26,1
2020-03-28,Corrientes,18,10
2020-03-28,Córdoba,14,4
2020-03-28,Entre Ríos,30,2
2020-03-28,Mendoza,50,3
2020-03-28,Neuquén,58,3
2020-03-28,Salta,66,1
2020-03-28,San Luis,74,1
2020-03-28,Santa Cruz,78,2
2020-03-28,Santa Fe,82,8
2020-03-28,Tierra del Fuego,94,9
2020-03-29,Buenos Aires,06,25
2020-03-29,CABA,02,24
2020-03-29,Chaco,22,2
2020-03-29,Corrientes,18,2
2020-03-29,Córdoba,14,5
2020-03-29,Entre Ríos,30,2
2020-03-29,Mendoza,50,1
2020-03-29,Misiones,54,1
2020-03-29,Neuquén,58,2
2020-03-29,Santa Fe,82,24
2020-03-29,Tierra del Fuego,94,4
2020-03-29,Tucumán,90,2
2020-03-30,Buenos Aires,06,33
2020-03-30,CABA,02,37
2020-03-30,Chaco,22,3
2020-03-30,Córdoba,14,10
2020-03-30,Entre Ríos,30,2
2020-03-30,Jujuy,38,1
2020-03-30,La Rioja,46,1
2020-03-30,Mendoza,50,4
2020-03-30,Neuquén,58,10
2020-03-30,Río Negro,62,1
2020-03-30,Santa Fe,82,14
2020-03-30,Santiago del Estero,86,1
2020-03-30,Tierra del Fuego,94,7
2020-03-30,Tucumán,90,4
2020-03-31,Buenos Aires,06,26
2020-03-31,CABA,02,20
2020-03-31,Chaco,22,3
2020-03-31,Corrientes,18,4
2020-03-31,Córdoba,14,9
2020-03-31,Entre Ríos,30,1
2020-03-31,Jujuy,38,4
2020-03-31,La Rioja,46,1
2020-03-31,Mendoza,50,2
2020-03-31,Misiones,54,1
2020-03-31,Salta,66,1
2020-03-31,Santa Fe,82,23
2020-03-31,Tierra del Fuego,94,8
2020-03-31,Tucumán,90,1
2020-04-01,Buenos Aires,06,29
2020-04-01,CABA,02,35
2020-04-01,Catamarca,10,1
2020-04-01,Chaco,22,8
2020-04-01,Córdoba,14,10
2020-04-01,Jujuy,38,2
2020-04-01,Neuquén,58,2
2020-04-01,Río Negro,62,4
2020-04-01,Santa Cruz,78,5
2020-04-01,Santa Fe,82,11
2020-04-01,Tierra del Fuego,94,5
2020-04-01,Tucumán,90,1
2020-04-02,Buenos Aires,06,43
2020-04-02,CABA,02,47
2020-04-02,Chaco,22,4
2020-04-02,Corrientes,18,1
2020-04-02,Córdoba,14,12
2020-04-02,Jujuy,38,5
2020-04-02,La Rioja,46,3
2020-04-02,Mendoza,50,3
2020-04-02,Neuquén,58,3
2020-04-02,Río Negro,62,3
2020-04-02,San Luis,74,1
2020-04-02,Santa Cruz,78,4
2020-04-02,Santa Fe,82,10
2020-04-02,Tierra del Fuego,94,6
2020-04-03,Buenos Aires,06,45
2020-04-03,CABA,02,28
2020-04-03,Chaco,22,2
2020-04-03,Corrientes,18,2
2020-04-03,Córdoba,14,7
2020-04-03,La Rioja,46,11
2020-04-03,Mendoza,50,2
2020-04-03,Neuquén,58,5
2020-04-03,Río Negro,62,2
2020-04-03,San Luis,74,1
2020-04-03,Santa Cruz,78,1
2020-04-03,Santa Fe,82,9
2020-04-03,Tierra del Fuego,94,1
2020-04-03,Tucumán,90,3
2020-04-04,Buenos Aires,06,35
2020-04-04,CABA,02,13
2020-04-04,Chaco,22,10
2020-04-04,Córdoba,14,10
2020-04-04,Entre Ríos,30,1
2020-04-04,Mendoza,50,3
2020-04-04,Neuquén,58,10
2020-04-04,Río Negro,62,3
2020-04-04,SIN ESPECIFICAR,99,1
2020-04-04,Santa Cruz,78,1
2020-04-04,Santa Fe,82,10
2020-04-04,Tierra del Fuego,94,5
2020-04-04,Tucumán,90,1
2020-04-05,Buenos Aires,06,13
2020-04-05,CABA,02,20
2020-04-05,Chaco,22,3
2020-04-05,Córdoba,14,8
2020-04-05,La Rioja,46,2
2020-04-05,Mendoza,50,2
2020-04-05,Neuquén,58,6
2020-04-05,Río Negro,62,5
2020-04-05,Santa Fe,82,7
2020-04-05,Tierra del Fuego,94,4
2020-04-05,Tucumán,90,2
2020-04-06,Buenos Aires,06,44
2020-04-06,CABA,02,34
2020-04-06,Chaco,22,5
2020-04-06,Corrientes,18,2
2020-04-06,Córdoba,14,9
2020-04-06,Jujuy,38,2
2020-04-06,La Pampa,42,1
2020-04-06,La Rioja,46,3
2020-04-06,Mendoza,50,6
2020-04-06,Neuquén,58,16
