fecha_apertura;residencia_provincia_nombre;residencia_provincia_id;cantidad
26/3/2020;Buenos Aires;6;32
26/3/2020;CABA;2;24
26/3/2020;Chaco;22;6
26/3/2020;Corrientes;18;2
26/3/2020;Córdoba;14;16
26/3/2020;Entre Ríos;30;2
26/3/2020;La Pampa;42;1
26/3/2020;La Rioja;46;1
26/3/2020;Neuquén;58;2
26/3/2020;San Juan;70;1
26/3/2020;San Luis;74;1
26/3/2020;Santa Cruz;78;1
26/3/2020;Santa Fe;82;14
26/3/2020;Tucumán;90;4
27/3/2020;Buenos Aires;6;28
27/3/2020;CABA;2;28
27/3/2020;Catamarca;10;2
27/3/2020;Chaco;22;15
27/3/2020;Córdoba;14;17
27/3/2020;La Rioja;46;2
27/3/2020;Mendoza;50;6
27/3/2020;Neuquén;58;3
27/3/2020;Salta;66;1
27/3/2020;Santa Cruz;78;2
27/3/2020;Santa Fe;82;13
27/3/2020;Tierra del Fuego;94;4
28/3/2020;Buenos Aires;6;28
28/3/2020;CABA;2;16
28/3/2020;Chaco;22;4
28/3/2020;Chubut;26;1
28/3/2020;Corrientes;18;10
28/3/2020;Córdoba;14;4
28/3/2020;Entre Ríos;30;2
28/3/2020;Mendoza;50;3
28/3/2020;Neuquén;58;3
28/3/2020;Salta;66;1
28/3/2020;San Luis;74;1
28/3/2020;Santa Cruz;78;2
28/3/2020;Santa Fe;82;8
28/3/2020;Tierra del Fuego;94;9
29/3/2020;Buenos Aires;6;25
29/3/2020;CABA;2;24
29/3/2020;Chaco;22;2
29/3/2020;Corrientes;18;2
29/3/2020;Córdoba;14;5
29/3/2020;Entre Ríos;30;2
29/3/2020;Mendoza;50;1
29/3/2020;Misiones;54;1
29/3/2020;Neuquén;58;2
29/3/2020;Santa Fe;82;24
29/3/2020;Tierra del Fuego;94;4
29/3/2020;Tucumán;90;2
30/3/2020;Buenos Aires;6;33
30/3/2020;CABA;2;37
30/3/2020;Chaco;22;3
30/3/2020;Córdoba;14;10
30/3/2020;Entre Ríos;30;2
30/3/2020;Jujuy;38;1
30/3/2020;La Rioja;46;1
30/3/2020;Mendoza;50;4
30/3/2020;Neuquén;58;10
30/3/2020;Río Negro;62;1
30/3/2020;Santa Fe;82;14
30/3/2020;Santiago del Estero;86;1
30/3/2020;Tierra del Fuego;94;7
30/3/2020;Tucumán;90;4
31/3/2020;Buenos Aires;6;26
31/3/2020;CABA;2;20
31/3/2020;Chaco;22;3
31/3/2020;Corrientes;18;4
31/3/2020;Córdoba;14;9
31/3/2020;Entre Ríos;30;1
31/3/2020;Jujuy;38;4
31/3/2020;La Rioja;46;1
31/3/2020;Mendoza;50;2
31/3/2020;Misiones;54;1
31/3/2020;Salta;66;1
31/3/2020;Santa Fe;82;23
31/3/2020;Tierra del Fuego;94;8
31/3/2020;Tucumán;90;1
1/4/2020;Buenos Aires;6;29
1/4/2020;CABA;2;35
1/4/2020;Catamarca;10;1
1/4/2020;Chaco;22;8
1/4/2020;Córdoba;14;10
1/4/2020;Jujuy;38;2
1/4/2020;Neuquén;58;2
1/4/2020;Río Negro;62;4
1/4/2020;Santa Cruz;78;5
1/4/2020;Santa Fe;82;11
1/4/2020;Tierra del Fuego;94;5
1/4/2020;Tucumán;90;1
2/4/2020;Buenos Aires;6;43
2/4/2020;CABA;2;47
2/4/2020;Chaco;22;4
2/4/2020;Corrientes;18;1
2/4/2020;Córdoba;14;12
2/4/2020;Jujuy;38;5
